scenario,counterparty,path,time_years,hazard_rate,survival_probability
independent,Bank A,0,0.0,0.015,1.0
independent,Bank A,0,0.25,0.022820824755569274,0.9952835544313537
independent,Bank A,0,0.5,0.01020780986803508,0.9911829180490468
independent,Bank A,0,0.75,0.008379847556794412,0.9888826203397416
independent,Bank A,0,1.0,0.013368009331067692,0.9861980113106006
independent,Bank A,0,1.25,0.011994239147010425,0.983076437182333
independent,Bank A,0,1.5,0.015921933430538566,0.9796519491350576
independent,Bank A,0,1.75,0.019294264334236946,0.9753489748854136
independent,Bank A,0,2.0,0.02303718571641135,0.9702016132990482
independent,Bank A,0,2.25,0.02252365485577633,0.9646919172116974
independent,Bank A,0,2.5,0.020797648293828436,0.9594820721487071
independent,Bank A,0,2.75,0.03256510656817638,0.9531032942959753
independent,Bank A,0,3.0,0.028969614076402327,0.9458002989186715
independent,Bank A,0,3.25,0.02484849482124829,0.9394590046774998
independent,Bank A,0,3.5,0.01727267560451362,0.934525614479429
independent,Bank A,0,3.75,0.019020633608204156,0.9302955884503626
independent,Bank A,0,4.0,0.02261581391141795,0.925466390835012
independent,Bank A,0,4.25,0.018316816259724682,0.9207432625789551
independent,Bank A,0,4.5,0.017144052300776112,0.9166710001427625
independent,Bank A,0,4.75,0.012501619955231493,0.9132803703619503
independent,Bank A,0,5.0,0.00906673307228142,0.9108214423604422
independent,Bank A,1,0.0,0.015,1.0
independent,Bank A,1,0.25,0.019884522958754435,0.9956489280913625
independent,Bank A,1,0.5,0.01637756912016557,0.9911461017812229
independent,Bank A,1,0.75,0.01922748469480507,0.9867446773196737
independent,Bank A,1,1.0,0.019442743113888234,0.9819864814342455
independent,Bank A,1,1.25,0.022702650078820046,0.976826808598835
independent,Bank A,1,1.5,0.019046631703492734,0.9717423599325776
independent,Bank A,1,1.75,0.022741806339559224,0.9666796447040146
independent,Bank A,1,2.0,0.02716865808499408,0.9606674897929105
independent,Bank A,1,2.25,0.02725092301854436,0.9541547758077612
independent,Bank A,1,2.5,0.020568104809911218,0.948468443197316
independent,Bank A,1,2.75,0.01947184096259858,0.9437332248209319
independent,Bank A,1,3.0,0.019377710357994578,0.9391613831366504
independent,Bank A,1,3.25,0.01523131683934629,0.935107226129998
independent,Bank A,1,3.5,0.019108718380068387,0.9311018768848043
independent,Bank A,1,3.75,0.024853592521803473,0.9259992361938421
independent,Bank A,1,4.0,0.015867326671376532,0.9212977693392947
independent,Bank A,1,4.25,0.015197577378792553,0.9177272029315378
independent,Bank A,1,4.5,0.014518086326308076,0.9143246670150565
independent,Bank A,1,4.75,0.019182409769285362,0.9104811189323854
independent,Bank A,1,5.0,0.014002134978632607,0.9067122035162517
independent,Bank A,2,0.0,0.015,1.0
independent,Bank A,2,0.25,0.019131723594213806,0.995742622984681
independent,Bank A,2,0.5,0.01693723454929616,0.9912633034729965
independent,Bank A,2,0.75,0.012921257350250747,0.9875704956995792
independent,Bank A,2,1.0,0.008325926744351635,0.984951089161551
independent,Bank A,2,1.25,0.012106864198964812,0.9824386365917198
independent,Bank A,2,1.5,0.007006039410546473,0.9800942813011879
independent,Bank A,2,1.75,0.010911383629498847,0.9779016421383053
independent,Bank A,2,2.0,0.008527338023189888,0.9755283818993941
independent,Bank A,2,2.25,0.01179465613018262,0.9730534414539184
independent,Bank A,2,2.5,0.007743032591766286,0.9706799390244866
independent,Bank A,2,2.75,0.013112584692864759,0.9681527184630587
independent,Bank A,2,3.0,0.012422319282857582,0.9650674341474095
independent,Bank A,2,3.25,0.015251794130986655,0.9617347785357732
independent,Bank A,2,3.5,0.015369220053545057,0.9580606528255451
independent,Bank A,2,3.75,0.01382535448868395,0.9545707529394072
independent,Bank A,2,4.0,0.015295993726836881,0.9511022712867139
