time_years,ee,pfe_95,pfe_99,gross_ee,netting_benefit
0.0,1653703.0243221088,1653703.0243218332,1653703.0243218332,4221962.1178285265,2568259.0935064177
0.25,1942572.4498398304,2917267.9568694755,3393770.012408499,4383882.647616481,2441310.197776651
0.5,2113528.651062057,3558882.212488798,4230694.186002199,4456290.365899795,2342761.714837738
0.75,2280415.4298642473,4066502.3840959156,5042228.605199854,4501232.406832728,2220816.9769684803
1.0,2417531.013392065,4552832.384917059,5734107.106511826,4529212.132068385,2111681.11867632
1.25,2548448.887948865,5036904.703310653,6425450.495905198,4537314.565560713,1988865.6776118483
1.5,3018216.770287316,5875087.66252898,7835869.1378027685,4540521.32131951,1522304.5510321944
1.75,3089765.878726139,6311763.735670137,8492623.273091601,4532981.377536229,1443215.4988100897
2.0,2172160.982226809,5228642.823306429,6599764.894023675,3235475.941581898,1063314.9593550889
2.25,2154550.3270409596,5488498.026879021,6950304.02563445,3190044.6311933864,1035494.3041524268
2.5,2141735.4078288362,5691645.636614375,7205877.10963388,3129147.0411007353,987411.6332718991
2.75,2144502.1471505724,5956441.1701444,7518779.085159158,3074692.3468441153,930190.1996935429
3.0,839132.998633006,1863835.6443928115,2910919.780810696,1678612.0644149147,839479.0657819087
3.25,801695.0013359408,1906819.311592859,3074929.575300521,1626387.5349029375,824692.5335669967
3.5,755976.0798993992,1925030.69015071,3178427.4575872375,1560840.9448865042,804864.864987105
3.75,702283.4459334302,1980022.269830218,3368054.5567311253,1479679.0750968968,777395.6291634666
4.0,657639.5996537257,2004415.9370201477,3598389.5379123692,1404580.6438130536,746941.0441593279
4.25,589633.4489480328,2033703.0013507942,3686699.996594635,1335806.2506659627,746172.8017179299
4.5,520475.3222486145,2052847.3209131865,3782711.4713748964,1263100.7921983816,742625.4699497671
4.75,438793.1801672098,2079585.7340939296,3866657.0654104506,1174261.969758661,735468.7895914512
5.0,0.0,0.0,0.0,0.0,0.0
