netting_set,time_years,ee,pfe_95,pfe_99
NS_BANK_A,0.0,60152.171072654375,60152.171072654375,60152.171072654375
NS_BANK_A,0.25,336510.5660280384,1389568.5324637743,2048051.743525589
NS_BANK_A,0.5,461136.1851544423,1992157.0917140457,3093565.1848344016
NS_BANK_A,0.75,568170.0350272151,2505304.127931611,3834213.2880107784
NS_BANK_A,1.0,663598.3805882253,3042937.523213204,4706250.90090445
NS_BANK_A,1.25,755402.5811837421,3420902.50479405,5573218.726838618
NS_BANK_A,1.5,852334.0527691456,3928400.2317915275,6367545.511469011
NS_BANK_A,1.75,933410.7893776043,4400972.647969789,6914277.858525324
NS_BANK_A,2.0,27620.11339255808,218875.9102245093,551493.2254304541
NS_BANK_A,2.25,39283.34292680094,313470.271169087,631339.2669965973
NS_BANK_A,2.5,52088.92504365832,391867.13802693394,740090.1278976544
NS_BANK_A,2.75,69757.1073992064,492271.5298743889,867132.0005538743
NS_BANK_A,3.0,91348.22428414486,604062.0198966303,1004946.7760281323
NS_BANK_A,3.25,89546.23290434468,586090.4424682029,989944.6071241992
NS_BANK_A,3.5,87573.9598918514,534409.2747918768,931366.2010416723
NS_BANK_A,3.75,81192.6364680491,495812.9260568026,818306.0396983952
NS_BANK_A,4.0,74078.47477380438,447643.46708300203,712355.4221379032
NS_BANK_A,4.25,61176.57560347217,362242.6371730863,583132.3329218525
NS_BANK_A,4.5,47048.16220108965,265870.9220464076,421147.36326811695
NS_BANK_A,4.75,27237.416999277924,152971.11464102386,237923.51497136278
NS_BANK_A,5.0,0.0,0.0,0.0
NS_BANK_B,0.0,2429409.6390643553,2429409.6390643553,2429409.6390643553
NS_BANK_B,0.25,2446197.908025996,4099184.729755195,4877532.753171152
NS_BANK_B,0.5,2446078.8372038957,4886540.230057014,5948087.302584124
NS_BANK_B,0.75,2568734.9632222215,5356984.357284154,6688965.791268173
NS_BANK_B,1.0,2427980.007026068,5306712.8491593115,6532077.578702416
NS_BANK_B,1.25,2330822.207648764,5379940.770263657,6701930.758563529
NS_BANK_B,1.5,2607127.730739273,5457882.113686276,6761913.172302537
NS_BANK_B,1.75,2473421.9857779066,5591836.498347781,6839030.096343165
NS_BANK_B,2.0,2358953.080759417,5657456.490130378,6887674.183591887
NS_BANK_B,2.25,2212002.793539523,5646167.854090187,7022497.046687825
NS_BANK_B,2.5,2095567.8789492662,5680617.083208686,7186921.1985974
NS_BANK_B,2.75,2031179.8949253205,5882947.438050219,7391678.171120732
NS_BANK_B,3.0,537539.5275357421,1317804.565462289,1652965.1955362733
NS_BANK_B,3.25,481587.1833073245,1209030.7353542193,1499242.486661088
NS_BANK_B,3.5,421640.5210044276,1067134.8029816693,1366169.4723098564
NS_BANK_B,3.75,357653.773058865,934083.6678012143,1215938.779996993
NS_BANK_B,4.0,297390.02587653615,795041.1308912577,1021164.9936782841
NS_BANK_B,4.25,229891.25142684774,625089.922281582,802507.7122315114
NS_BANK_B,4.5,158339.05147880942,435970.6087113839,565854.8332347741
NS_BANK_B,4.75,81903.26493609822,231936.6745117516,299355.9333702131
NS_BANK_B,5.0,0.0,0.0,0.0
NS_FUND_C,0.0,0.0,0.0,0.0
NS_FUND_C,0.25,92217.81900887525,464819.17058477004,749888.6588212706
NS_FUND_C,0.5,142412.90662158743,665526.9418206592,1102474.6637362414
NS_FUND_C,0.75,170800.84480274946,857980.094296205,1462223.375519808
NS_FUND_C,1.0,198262.8492591065,1008498.8289968041,1737669.1346602272
NS_FUND_C,1.25,229427.24483315897,1177736.2018800867,2015612.0513945322
NS_FUND_C,1.5,263196.8941117645,1344501.197910574,2393013.8952207775
NS_FUND_C,1.75,292869.7303828418,1506072.6282566132,2643465.4559182595
NS_FUND_C,2.0,143341.88452751466,804512.3718165638,1498711.2505494005
NS_FUND_C,2.25,160414.57430000472,867597.830061485,1716798.7329144548
NS_FUND_C,2.5,178445.74547899203,946407.4888318048,1862653.1598508975
NS_FUND_C,2.75,193487.20039909636,1045239.5840736971,2028206.0859483252
NS_FUND_C,3.0,210245.24681312442,1152307.3390684824,2157571.000939193
NS_FUND_C,3.25,230561.58512427178,1240829.27877644,2466132.449619129
NS_FUND_C,3.5,246761.59900311637,1331880.3058772779,2669646.4356976864
NS_FUND_C,3.75,263437.036406516,1474421.1905309889,2884469.5024707583
NS_FUND_C,4.0,286171.09900338476,1586894.428530865,3137719.936040674
NS_FUND_C,4.25,298565.62191771314,1721923.9400041278,3289463.5911061745
NS_FUND_C,4.5,315088.1085687162,1845712.2794872408,3479047.0122370734
NS_FUND_C,4.75,329652.4982318342,1973392.5128042751,3735993.7399210073
NS_FUND_C,5.0,0.0,0.0,0.0
