trade_id,netting_set,product,underlying,option_type,position,quantity,strike,maturity_years,notional,fixed_rate,payments_per_year
OPT001,NS_BANK_A,European option,SP500,call,long,2000.0,5000.0,2.0,,,
OPT002,NS_BANK_A,European option,SP500,put,short,1500.0,4700.0,2.0,,,
OPT003,NS_BANK_B,European option,NASDAQ100,put,long,700.0,17500.0,3.0,,,
OPT004,NS_BANK_B,European option,RUSSELL2000,call,short,2500.0,2100.0,1.5,,,
OPT005,NS_FUND_C,European option,SP500,call,long,1000.0,5200.0,5.0,,,
OPT006,NS_FUND_C,European option,NASDAQ100,call,short,300.0,19000.0,5.0,,,
SWP001,NS_BANK_A,Interest rate swap,,,payer,,,5.0,50000000.0,0.04,4.0
SWP002,NS_BANK_A,Interest rate swap,,,receiver,,,3.0,30000000.0,0.0375,4.0
SWP003,NS_BANK_B,Interest rate swap,,,receiver,,,5.0,40000000.0,0.042,4.0
SWP004,NS_FUND_C,Interest rate swap,,,payer,,,4.0,25000000.0,0.038,4.0
