trade_id,netting_set,product,initial_mtm,max_standalone_ee,max_absolute_mtm
OPT001,NS_BANK_A,European option,1193215.1823945723,1268772.6875756616,17041694.169769127
OPT002,NS_BANK_A,European option,-389453.1830548428,0.0,3671274.2481587115
OPT003,NS_BANK_B,European option,1186453.8301978922,1318775.8519560695,8586632.134698208
OPT004,NS_BANK_B,European option,-553634.4649414741,0.0,8832727.557243548
OPT005,NS_FUND_C,European option,878396.0709057888,1065121.2878232822,20276039.80330444
OPT006,NS_FUND_C,European option,-1165787.7500183291,0.0,29275658.41998967
SWP001,NS_BANK_A,Interest rate swap,-746775.374605109,91348.22428414496,3640043.347224921
SWP002,NS_BANK_A,Interest rate swap,3165.5463380338147,150861.5554720183,1439821.9008014514
SWP003,NS_BANK_B,Interest rate swap,960731.4879927608,960731.4879926008,3238818.0667377254
SWP004,NS_FUND_C,Interest rate swap,-89810.39361944457,77867.45757369121,1460232.874942469
