counterparty,netting_set,correlation,rate_correlation,cva,cva_uplift_pct
Bank A,NS_BANK_A,-0.8,-0.0,9024.591237383971,-26.504285827103303
Bank A,NS_BANK_A,-0.6,-0.0,9793.497594662278,-20.242359898962203
Bank A,NS_BANK_A,-0.4,-0.0,10592.70847257435,-13.733635824726731
Bank A,NS_BANK_A,-0.2,-0.0,11421.554533392653,-6.983564649548302
Bank A,NS_BANK_A,0.0,0.0,12279.07142470085,0.0
Bank A,NS_BANK_A,0.2,0.0,13164.593421673122,7.211636502015439
Bank A,NS_BANK_A,0.4,0.0,14077.28388457495,14.644531314125086
Bank A,NS_BANK_A,0.6,0.0,15015.986930493531,22.289270997211098
Bank A,NS_BANK_A,0.8,0.0,15978.516366223083,30.12805132870511
Bank B,NS_BANK_B,-0.8,-0.4,127024.51934454152,16.644538716830514
Bank B,NS_BANK_B,-0.6,-0.3,122373.30527692374,12.37340490589338
Bank B,NS_BANK_B,-0.4,-0.2,117807.93816607643,8.181102951391583
Bank B,NS_BANK_B,-0.2,-0.1,113318.01358217727,4.058078635576434
Bank B,NS_BANK_B,0.0,0.0,108898.81407385024,0.0
Bank B,NS_BANK_B,0.2,0.1,104546.73089083866,-3.9964468116798657
Bank B,NS_BANK_B,0.4,0.2,100258.41780221331,-7.9343345886002
Bank B,NS_BANK_B,0.6,0.3,96028.12769034978,-11.818940814885416
Bank B,NS_BANK_B,0.8,0.4,91840.7914986473,-15.66410315876806
Fund C,NS_FUND_C,-0.8,-0.0,10285.27002402812,-23.572930326716012
Fund C,NS_FUND_C,-0.6,-0.0,11034.689692158241,-18.00419474107713
Fund C,NS_FUND_C,-0.4,-0.0,11813.18182701652,-12.219429490196966
Fund C,NS_FUND_C,-0.2,-0.0,12620.79011905737,-6.218309922083309
Fund C,NS_FUND_C,0.0,0.0,13457.627078986989,0.0
Fund C,NS_FUND_C,0.2,0.0,14323.881323854079,6.43690183850969
Fund C,NS_FUND_C,0.4,0.0,15219.898329772535,13.094962733342431
Fund C,NS_FUND_C,0.6,0.0,16146.377981048514,19.97938333615883
Fund C,NS_FUND_C,0.8,0.0,17105.101830310454,27.103401884413223
