counterparty,time_years,path,exposure,default_weight,ordinary_weight
Bank B,1.5,0,2399964.789690327,0.0004629868888124866,0.0005
Bank B,1.5,1,3571115.26882876,0.0004953105979360472,0.0005
Bank B,1.5,2,3214749.2383682155,0.00047173578406189493,0.0005
Bank B,1.5,3,4265053.098410355,0.0008858327001618847,0.0005
Bank B,1.5,4,2196814.0793817313,0.0003475387313804299,0.0005
Bank B,1.5,5,3630321.591427472,0.0007370448867330815,0.0005
Bank B,1.5,6,2168989.709917032,0.0004462337683712375,0.0005
Bank B,1.5,7,3243557.4001221433,0.0003490063233747454,0.0005
Bank B,1.5,8,1534372.7968054027,0.0004762266927520708,0.0005
Bank B,1.5,9,2210924.8820496453,0.00036280458296608214,0.0005
Bank B,1.5,10,2389011.780103969,0.00038848567397277824,0.0005
Bank B,1.5,11,4247660.438370974,0.000508892718220242,0.0005
Bank B,1.5,12,3858904.4218820506,0.0005254669944935532,0.0005
Bank B,1.5,13,1590667.5145112574,0.000498967520299811,0.0005
Bank B,1.5,14,6466151.625273785,0.0004293821596625681,0.0005
Bank B,1.5,15,4641245.995040006,0.00044572895154566783,0.0005
Bank B,1.5,16,6352610.293332417,0.0006071697135956275,0.0005
Bank B,1.5,17,6950312.455725212,0.0005390340225933188,0.0005
Bank B,1.5,18,778973.9948767776,0.00047947188205354926,0.0005
Bank B,1.5,19,2922992.51662982,0.0004424708619942119,0.0005
Bank B,1.5,20,313781.53130312247,0.0007855565898559645,0.0005
Bank B,1.5,21,4810938.600487299,0.00040125821168565207,0.0005
Bank B,1.5,22,3282097.2785789547,0.00030870811387054004,0.0005
Bank B,1.5,23,1742540.1236107098,0.0003601230214059736,0.0005
Bank B,1.5,24,5314363.38289954,0.000701225317640791,0.0005
Bank B,1.5,25,1734320.6791419336,0.0007893773926934545,0.0005
Bank B,1.5,26,4455872.087357282,0.0008153948554762712,0.0005
Bank B,1.5,27,1059388.5642527496,0.0006988126688649833,0.0005
Bank B,1.5,28,4314531.6019604765,0.0004608572425265565,0.0005
Bank B,1.5,29,1317834.7174147638,0.00046937073508444317,0.0005
Bank B,1.5,30,4494865.732209889,0.0007486723642297836,0.0005
Bank B,1.5,31,2564098.7320593195,0.0004439624254006208,0.0005
Bank B,1.5,32,1201973.8169363223,0.000298308694345913,0.0005
Bank B,1.5,33,2757095.8614400416,0.0005585808391887406,0.0005
Bank B,1.5,34,2570411.3862710213,0.0003074345447780324,0.0005
Bank B,1.5,35,2089603.2513556397,0.0005021038501998788,0.0005
Bank B,1.5,36,3091941.893995038,0.0006411238100746296,0.0005
Bank B,1.5,37,1744629.3645690866,0.0005133968994025788,0.0005
Bank B,1.5,38,798700.1576483133,0.0004319948395874182,0.0005
Bank B,1.5,39,761405.2317384529,0.00042900901824506903,0.0005
Bank B,1.5,40,843083.4060972962,0.0005501249308608719,0.0005
Bank B,1.5,41,1372574.429897923,0.0004927512984939157,0.0005
Bank B,1.5,42,3129316.6702750903,0.0006142356500800626,0.0005
Bank B,1.5,43,4698365.1004255945,0.0005586854617136206,0.0005
Bank B,1.5,44,845993.4701338455,0.00034123111916467026,0.0005
Bank B,1.5,45,4067974.1052050316,0.0007039622825106911,0.0005
Bank B,1.5,46,3294929.934785487,0.0004153029614695559,0.0005
Bank B,1.5,47,1038833.9040217396,0.0004228763529514112,0.0005
Bank B,1.5,48,5908330.256953303,0.0003989554729554784,0.0005
Bank B,1.5,49,2431438.2344570835,0.0005047033569322221,0.0005
Bank B,1.5,50,189912.09853647338,0.0005108901676549375,0.0005
Bank B,1.5,51,651415.4580785511,0.00032121467879878113,0.0005
Bank B,1.5,52,5940418.555247569,0.00038427599553510385,0.0005
Bank B,1.5,53,2440334.132806382,0.0004803016107993339,0.0005
Bank B,1.5,54,1952953.6722326805,0.00046349709592129277,0.0005
Bank B,1.5,55,2684260.061003426,0.0005331447173332899,0.0005
Bank B,1.5,56,2988224.293891332,0.0005270454134894864,0.0005
Bank B,1.5,57,3202385.3487024973,0.0006348966620764615,0.0005
Bank B,1.5,58,4484799.739059923,0.0005559607379483523,0.0005
Bank B,1.5,59,3616262.160693491,0.000453950644324504,0.0005
Bank B,1.5,60,1121238.5788904973,0.00047829124143867693,0.0005
Bank B,1.5,61,2295191.4901393154,0.0002539335525174834,0.0005
Bank B,1.5,62,3720721.571180303,0.0005275090298754177,0.0005
Bank B,1.5,63,1775174.1124256323,0.0005292167105135706,0.0005
Bank B,1.5,64,7309963.16581583,0.0007048895424806013,0.0005
Bank B,1.5,65,3200416.4453158844,0.0004972850406697724,0.0005
Bank B,1.5,66,1251192.4216270112,0.0006617689141186479,0.0005
Bank B,1.5,67,613421.869729765,0.00027220478003441137,0.0005
Bank B,1.5,68,3018687.866767067,0.0003768350710639669,0.0005
Bank B,1.5,69,3988629.4686410106,0.0005787696235495471,0.0005
Bank B,1.5,70,0.0,0.0006165119834461565,0.0005
Bank B,1.5,71,1123247.3919769935,0.0004737932031412706,0.0005
Bank B,1.5,72,807932.5327936003,0.0005668351520740253,0.0005
Bank B,1.5,73,750778.7524148423,0.0005570085417027786,0.0005
Bank B,1.5,74,2193700.4195195823,0.0007044727411091894,0.0005
Bank B,1.5,75,5481375.760982828,0.0004402942780013798,0.0005
Bank B,1.5,76,5823480.608808129,0.000736827442885263,0.0005
Bank B,1.5,77,1703457.897048002,0.0005084097714033637,0.0005
Bank B,1.5,78,2665426.7470752564,0.0004698638361695013,0.0005
Bank B,1.5,79,2242148.633705046,0.0008844932568194305,0.0005
Bank B,1.5,80,3350444.3783479338,0.000545015338324698,0.0005
Bank B,1.5,81,864720.2360657607,0.0004244750861817971,0.0005
Bank B,1.5,82,5131628.301345412,0.0005780247580465266,0.0005
Bank B,1.5,83,3949333.0296859927,0.0008313525373480652,0.0005
Bank B,1.5,84,2650695.832710231,0.0005870530967150204,0.0005
Bank B,1.5,85,1402186.1402010773,0.0004636139574133759,0.0005
Bank B,1.5,86,3058450.8242724156,0.0006843679772131236,0.0005
Bank B,1.5,87,517281.05282297113,0.0003717832782601302,0.0005
Bank B,1.5,88,0.0,0.00012850631418639594,0.0005
Bank B,1.5,89,2925159.957206485,0.0004769716393065145,0.0005
Bank B,1.5,90,2488902.2953522885,0.00030537965144660206,0.0005
Bank B,1.5,91,1894869.6081865989,0.0003362332850671011,0.0005
Bank B,1.5,92,4491549.690014954,0.00045728285941335417,0.0005
Bank B,1.5,93,2341851.311190649,0.0005307258351515826,0.0005
Bank B,1.5,94,1111147.043403059,0.00027128921241011876,0.0005
Bank B,1.5,95,2807305.8158954866,0.00040725934653105877,0.0005
Bank B,1.5,96,4025733.5314413966,0.0005650637135679533,0.0005
Bank B,1.5,97,1796949.5115172397,0.00040789824580606313,0.0005
Bank B,1.5,98,5663249.264085022,0.000557496938889159,0.0005
Bank B,1.5,99,1572708.2109341077,0.0007391592512663666,0.0005
Bank B,1.5,100,2441760.723105909,0.00043556965297094605,0.0005
Bank B,1.5,101,2781062.0206937697,0.0005414887884009456,0.0005
Bank B,1.5,102,2875189.482911385,0.0005403519506538142,0.0005
Bank B,1.5,103,2897514.6712863515,0.0006312298280673396,0.0005
Bank B,1.5,104,2532339.0244134455,0.0004561769189534999,0.0005
Bank B,1.5,105,839606.6000357984,0.0003722248953989718,0.0005
Bank B,1.5,106,785663.8958560005,0.00035369292621702415,0.0005
Bank B,1.5,107,5040819.909312712,0.0002961743569924539,0.0005
Bank B,1.5,108,4379403.0733315,0.00039547917957497486,0.0005
Bank B,1.5,109,580112.8267954051,0.0002037801888868963,0.0005
Bank B,1.5,110,503833.15869268146,0.0003835195706734231,0.0005
Bank B,1.5,111,1783107.189778186,0.0003486775482256343,0.0005
Bank B,1.5,112,3933265.2009134796,0.0005733920911637765,0.0005
Bank B,1.5,113,1295624.5043446594,0.0005087845238969906,0.0005
Bank B,1.5,114,5149320.015353397,0.0007444188727576598,0.0005
Bank B,1.5,115,4044781.075708463,0.0005560964184845612,0.0005
Bank B,1.5,116,4066545.479753246,0.0008175702334707685,0.0005
Bank B,1.5,117,1939516.4547339873,0.0004529350957063021,0.0005
Bank B,1.5,118,1904269.051280885,0.00046216467227833374,0.0005
Bank B,1.5,119,2978889.539698651,0.0005432159269887969,0.0005
Bank B,1.5,120,286020.46625963436,0.0004327844031775259,0.0005
Bank B,1.5,121,1308818.5097528247,0.000267647869673325,0.0005
Bank B,1.5,122,4931261.100425445,0.0005509163674482667,0.0005
Bank B,1.5,123,3430843.6814999566,0.0006878781949367098,0.0005
Bank B,1.5,124,2090914.6166287598,0.00043474153124185117,0.0005
Bank B,1.5,125,1159317.7048007173,0.0006864083837274592,0.0005
Bank B,1.5,126,2745669.6393367383,0.00037167790266245303,0.0005
Bank B,1.5,127,3695479.0350876558,0.0006067717472672942,0.0005
Bank B,1.5,128,1428941.9821702621,0.0003151108434737439,0.0005
Bank B,1.5,129,941388.0086248962,0.0006029160557821562,0.0005
Bank B,1.5,130,5399996.073638828,0.0004023274427325896,0.0005
Bank B,1.5,131,1025630.4338422103,0.0005039530974145256,0.0005
Bank B,1.5,132,2083672.3000502032,0.00031696931685757057,0.0005
Bank B,1.5,133,1609330.0370193592,0.00026446518890530754,0.0005
Bank B,1.5,134,2812631.3238944337,0.0005839966170936718,0.0005
Bank B,1.5,135,1360880.9848317148,0.0004644080601702493,0.0005
Bank B,1.5,136,1374461.024193503,0.0005888937572983522,0.0005
Bank B,1.5,137,1064378.9219773156,0.00043397081787623976,0.0005
Bank B,1.5,138,1192012.209371169,0.0005427169700517592,0.0005
Bank B,1.5,139,3237231.8254051874,0.0003905619569486253,0.0005
Bank B,1.5,140,2410452.4456452206,0.0006700282693474575,0.0005
Bank B,1.5,141,2463502.082954094,0.0006312128204255714,0.0005
Bank B,1.5,142,3982022.8932952466,0.000428535863678572,0.0005
Bank B,1.5,143,2320544.8667758014,0.0003102571256446104,0.0005
Bank B,1.5,144,68954.14528934381,0.00019905755659720218,0.0005
Bank B,1.5,145,3682564.4851481365,0.00053629318231234,0.0005
Bank B,1.5,146,1138955.3221462427,0.00047812769925341755,0.0005
Bank B,1.5,147,4284115.224263693,0.0007984529689584956,0.0005
Bank B,1.5,148,2724314.359106143,0.0005035105395909687,0.0005
Bank B,1.5,149,1118293.8082362497,0.0003672601440965967,0.0005
Bank B,1.5,150,5268370.88702501,0.0007986110029251172,0.0005
Bank B,1.5,151,4708685.03663488,0.0006461785111348179,0.0005
Bank B,1.5,152,5833182.130136071,0.0003548051360324243,0.0005
Bank B,1.5,153,973547.3955528759,0.00044527030644847716,0.0005
Bank B,1.5,154,1176439.7130137684,0.0004709631776665324,0.0005
Bank B,1.5,155,2627091.696441052,0.00026676274985234464,0.0005
Bank B,1.5,156,1806390.4760794751,0.0004952592476645513,0.0005
Bank B,1.5,157,1447188.80999409,0.0005082787421070306,0.0005
Bank B,1.5,158,2855466.002731862,0.0005160589449973358,0.0005
Bank B,1.5,159,1760101.23689843,0.0002846556947690496,0.0005
Bank B,1.5,160,4407572.768634518,0.0005614005677075543,0.0005
Bank B,1.5,161,1867938.030045036,0.00043716550528747077,0.0005
Bank B,1.5,162,4471242.8237120565,0.0008741821595947075,0.0005
Bank B,1.5,163,2522682.6141679194,0.0008081152757792936,0.0005
Bank B,1.5,164,1756759.5453307529,0.0005046513111427216,0.0005
Bank B,1.5,165,1480176.2583909808,0.0005293300295626115,0.0005
Bank B,1.5,166,1761804.7122478678,0.000490116908778224,0.0005
Bank B,1.5,167,2480911.020278368,0.000601711208804771,0.0005
Bank B,1.5,168,0.0,0.0005301253026758329,0.0005
Bank B,1.5,169,3108715.177749631,0.0005115611936794777,0.0005
Bank B,1.5,170,2531042.963254457,0.000382488468138988,0.0005
Bank B,1.5,171,2582623.625589842,0.00038451698015890034,0.0005
Bank B,1.5,172,1112800.1008950134,0.0006195818535923191,0.0005
Bank B,1.5,173,2418867.0182170477,0.0005366984906189776,0.0005
Bank B,1.5,174,455056.18667587626,0.0002972517998199831,0.0005
Bank B,1.5,175,741366.0254473875,0.0004077253898720996,0.0005
Bank B,1.5,176,1489057.4887242275,0.0006523741084770802,0.0005
Bank B,1.5,177,1827860.3793826266,0.000507272425233604,0.0005
Bank B,1.5,178,1313935.838740765,0.00019058791927807603,0.0005
Bank B,1.5,179,807169.1464205462,0.0004281474955228673,0.0005
Bank B,1.5,180,1549173.3445485123,0.0005742346683100164,0.0005
Bank B,1.5,181,4466169.381192364,0.0006880721036283764,0.0005
Bank B,1.5,182,1999117.295971089,0.000521259053134333,0.0005
Bank B,1.5,183,4567681.253581892,0.000562800934392446,0.0005
Bank B,1.5,184,0.0,0.0002930061463735408,0.0005
Bank B,1.5,185,2278549.592913391,0.00029056558567823313,0.0005
Bank B,1.5,186,2586107.0077479235,0.0005096379987696349,0.0005
Bank B,1.5,187,4273645.218111279,0.000395610896764482,0.0005
Bank B,1.5,188,4942557.244553223,0.0009121643680720924,0.0005
Bank B,1.5,189,3899718.228051253,0.0003444114422320964,0.0005
Bank B,1.5,190,3910129.6761732083,0.0008967889731680388,0.0005
Bank B,1.5,191,3385826.455303353,0.000503419740878256,0.0005
