scenario,counterparty,netting_set,time_years,ee,pfe_95,default_weighted_ee,default_weighted_pfe_95,mean_hazard,mean_default_probability
independent,Bank A,NS_BANK_A,0.0,60152.171072654375,60152.171072654375,60152.171072654375,60152.171072654375,0.015,0.0
independent,Bank A,NS_BANK_A,0.25,336510.5660280384,1389568.5324637743,336345.99275648454,1392166.203551502,0.015514609966436176,0.003806953290498855
independent,Bank A,NS_BANK_A,0.5,461136.1851544423,1992157.0917140457,462739.9993755996,1993534.4826138583,0.015958238166695143,0.003910564154797273
independent,Bank A,NS_BANK_A,0.75,568170.0350272151,2505304.127931611,571066.3481019449,2516330.73402814,0.016330221952712328,0.00399479547366019
independent,Bank A,NS_BANK_A,1.0,663598.3805882253,3042937.523213204,665945.1248704699,3048839.655972856,0.016585155777501373,0.0040545259949032715
independent,Bank A,NS_BANK_A,1.25,755402.5811837421,3420902.50479405,758193.0028969466,3431944.668400311,0.016814418019250557,0.004095927937178936
independent,Bank A,NS_BANK_A,1.5,852334.0527691456,3928400.2317915275,850569.1332276537,3938653.915039672,0.017057578225174234,0.004135292959726077
independent,Bank A,NS_BANK_A,1.75,933410.7893776043,4400972.647969789,933698.4449306754,4409512.305147405,0.017244814510685103,0.004168924287255086
independent,Bank A,NS_BANK_A,2.0,27620.11339255808,218875.9102245093,27913.44351554379,221739.14677326637,0.017411689665627058,0.0041928381042769655
independent,Bank A,NS_BANK_A,2.25,39283.34292680094,313470.271169087,39373.6792431927,314422.32624689175,0.01748739206732057,0.00420291930301975
independent,Bank A,NS_BANK_A,2.5,52088.92504365832,391867.13802693394,52729.70468913393,397086.7385548748,0.017606847243307612,0.004207146684726422
independent,Bank A,NS_BANK_A,2.75,69757.1073992064,492271.5298743889,69894.18796767638,494051.7832003662,0.017695076131278593,0.0042127000903703
independent,Bank A,NS_BANK_A,3.0,91348.22428414486,604062.0198966303,91039.89620064033,605213.9209847214,0.01777520991878811,0.004213355455338372
independent,Bank A,NS_BANK_A,3.25,89546.23290434468,586090.4424682029,89695.10894137649,586491.2283066224,0.017766967892986697,0.00420257286170538
independent,Bank A,NS_BANK_A,3.5,87573.9598918514,534409.2747918768,86414.89852620372,529172.9531795072,0.01779983260023846,0.004186384519652291
independent,Bank A,NS_BANK_A,3.75,81192.6364680491,495812.9260568026,80618.36103662016,492871.20525770175,0.0178002591489043,0.004171538124775892
independent,Bank A,NS_BANK_A,4.0,74078.47477380438,447643.46708300203,73482.44632701889,446539.231530161,0.017852629572305476,0.004159105508047239
independent,Bank A,NS_BANK_A,4.25,61176.57560347217,362242.6371730863,61193.22670873252,361089.0953748169,0.017922352363577268,0.004154666132966093
independent,Bank A,NS_BANK_A,4.5,47048.16220108965,265870.9220464076,46810.5385242145,264965.92146463046,0.017967602221264943,0.004149183203409868
independent,Bank A,NS_BANK_A,4.75,27237.416999277924,152971.11464102386,27328.223850662016,151772.42054294155,0.017945497798995225,0.004132962947883647
independent,Bank A,NS_BANK_A,5.0,0.0,0.0,0.0,0.0,0.017963497460550006,0.0041138984781697386
independent,Bank B,NS_BANK_B,0.0,2429409.6390643553,2429409.6390643553,2429409.6390643553,2429409.6390643553,0.024999999999999998,0.0
independent,Bank B,NS_BANK_B,0.25,2446197.908025996,4099184.729755195,2446445.4793319795,4096338.490107868,0.025985560697990285,0.006352624863816727
independent,Bank B,NS_BANK_B,0.5,2446078.8372038957,4886540.230057014,2445368.802651609,4882298.999657356,0.026789489466047905,0.006530973555885749
independent,Bank B,NS_BANK_B,0.75,2568734.9632222215,5356984.357284154,2565495.089525767,5356342.137152899,0.027501856229611973,0.006670654289752025
independent,Bank B,NS_BANK_B,1.0,2427980.007026068,5306712.8491593115,2424867.3088497873,5301870.488640165,0.028004796980843582,0.006770032413602252
independent,Bank B,NS_BANK_B,1.25,2330822.207648764,5379940.770263657,2322034.22552951,5354822.234083717,0.02843938481946015,0.006833173979438557
