counterparty,time_years,path,exposure,hazard_rate,default_weight
Bank B,1.5,0,1862514.699361029,0.027081490692734526,0.006338284738373057
Bank B,1.5,1,2711696.8444043924,0.023178321461459733,0.006780795913475579
Bank B,1.5,2,1881868.0815677382,0.02392160948091006,0.0064580570053138775
Bank B,1.5,3,4265053.098410355,0.054982749690391165,0.012127038626490894
Bank B,1.5,4,2069174.3537559258,0.02561844383218316,0.004757800901775133
Bank B,1.5,5,2534277.0438535837,0.04060563928700577,0.010090135314756665
Bank B,1.5,6,1758117.1995811607,0.027660321147006017,0.006108934728299875
Bank B,1.5,7,2264748.7073742272,0.022750676442072498,0.004777892217889046
Bank B,1.5,8,1534372.7968054027,0.032199694934987894,0.006519537489319327
Bank B,1.5,9,1516570.1522093543,0.02118081559933792,0.004966790219748662
Bank B,1.5,10,1822126.9589489403,0.018541274073291245,0.005318364035607703
Bank B,1.5,11,3202580.508222645,0.025166158168021275,0.006966734970913824
Bank B,1.5,12,3858904.4218820506,0.03242110532753266,0.007193636606556586
Bank B,1.5,13,1531629.1987830962,0.028515703598638566,0.006830859135065093
Bank B,1.5,14,3956378.399357115,0.029782026366123565,0.005878236415073013
Bank B,1.5,15,4641245.995040006,0.02078020445786121,0.0061020237922485565
Bank B,1.5,16,6352610.293332417,0.03622922062807879,0.008312145812932825
Bank B,1.5,17,4077345.5945114125,0.038447377386755105,0.007379369052178064
Bank B,1.5,18,520952.57992347423,0.03050244570783451,0.006563964090416929
Bank B,1.5,19,2205310.566401087,0.025614066564107824,0.006057420586889517
Bank B,1.5,20,214742.34739589872,0.04625717693447996,0.010754259925984666
Bank B,1.5,21,3705687.3969530333,0.019080752580537586,0.005493219917733105
Bank B,1.5,22,2708128.8984418423,0.017409969168707764,0.0042262102319490236
Bank B,1.5,23,1540165.0467918827,0.02045701332809775,0.004930079675406818
Bank B,1.5,24,5314363.38289954,0.03630895776862546,0.00959976586024558
Bank B,1.5,25,1343158.4206035994,0.04814173305458823,0.01080656666921731
Bank B,1.5,26,2741522.164278421,0.051379506433287994,0.011162745410499775
Bank B,1.5,27,720735.6188576155,0.042835948456342476,0.00956673672856978
Bank B,1.5,28,4314531.6019604765,0.02537683065713963,0.006309129907257072
Bank B,1.5,29,678134.3688779844,0.023059052090476605,0.00642567951428441
Bank B,1.5,30,3857043.9459285485,0.040185149530154826,0.010249315336791742
Bank B,1.5,31,1431744.1542134904,0.026687917439062583,0.006077840071336271
Bank B,1.5,32,1201973.8169363223,0.017882564557180045,0.00408384230824832
Bank B,1.5,33,1730659.9790088302,0.02636475093626169,0.0076469647277884745
Bank B,1.5,34,2570411.3862710213,0.017490803397152373,0.004208775086943062
Bank B,1.5,35,2089603.2513556397,0.02658444722260138,0.006873795452313924
Bank B,1.5,36,2123164.3095520358,0.034635574983812784,0.008776976970614414
Bank B,1.5,37,1401040.434009568,0.02420595931095107,0.007028397155171562
Bank B,1.5,38,672538.477186146,0.023077411766238627,0.005914003970686532
Bank B,1.5,39,587969.1566767744,0.022410974107940435,0.005873128113717319
Bank B,1.5,40,690572.8825103613,0.023042708937125442,0.007531203448152501
Bank B,1.5,41,1077456.9149163552,0.023940013789397432,0.00674575913600528
Bank B,1.5,42,3129316.6702750903,0.03929732773438934,0.008408878395353203
Bank B,1.5,43,2651442.631557435,0.031270839948806126,0.007648397008850338
Bank B,1.5,44,842648.9553090729,0.01754450432430779,0.004671449769143132
Bank B,1.5,45,2439000.449254143,0.04052245084986922,0.009637234875208067
Bank B,1.5,46,2449791.089910726,0.0210728570897662,0.00568549236725735
Bank B,1.5,47,977999.2753908602,0.02756474248217189,0.005789172002268805
Bank B,1.5,48,4311836.803071954,0.02916282921376681,0.005461695453212401
Bank B,1.5,49,1662276.3858092902,0.026119320359603317,0.0069093826670861835
